,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Jamaica,Jamaica,GPE,0.04367623,0.68718000,en,45.10000000,127193-3,3489940,A,18.16667000,-77.25000000,CENTRAL-AMERICA,Jamaica,CAR
Philippines,Philippines,GPE,0.05429684,0.37249273,en,32.30000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Caribbean,Caribbean,LOC,-0.07885365,0.75533655,en,17.90000000,,7729891,L,20.38583000,-72.33398000,CENTRAL-AMERICA,,CAR
U.S.,U.S.,GPE,0.22850750,0.51703617,en,13.60000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Cuba,Cuba,GPE,0.01336249,0.35325559,en,9.80000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Taiwan,Taiwan,GPE,0.13090457,0.48474852,en,8.30000000,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
California,California,GPE,0.01374755,0.51222548,en,7.30000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Earth,Earth,LOC,0.55846011,1.45432282,en,7.00000000,1135962553,6295630,L,0.00000000,0.00000000,ATLANTIC,,EAO
US,US,GPE,0.04513889,0.21354167,en,6.40000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
Typhoon Halong,Typhoon Halong,GPE,-0.01724138,0.15373563,en,5.80000000,,0,,,,,,
Alaska,Alaska,GPE,-0.19596913,0.52601487,en,5.30000000,4001016-8,5879092,A,64.00028000,-150.00028000,NORTH-AMERICA,United States,NWN
Haiti,Haiti,GPE,-0.09505208,0.40972222,en,4.80000000,4022974-9,3723988,A,19.07582000,-72.29616000,CENTRAL-AMERICA,Haiti,CAR
Phoenix,Phoenix,GPE,-0.34782609,0.60869565,en,4.60000000,4119970-4,5308655,P,33.44838000,-112.07404000,CENTRAL-AMERICA,United States,NCA
Brazil,Brazil,GPE,0.09057971,0.56884058,en,4.60000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
