,phrase,label,sentiment,subjectivity,language,count
Typhoon Kalmaegi,Typhoon Kalmaegi,PERSON,-0.07398776893123626,0.2591300659139856,en,19.9
Donald Trump,Donald Trump,PERSON,-0.08333333333333333,0.15749999999999997,en,10.000000000000002
Typhoon Fung-wong,Typhoon Fung-wong,PERSON,-0.018999518999519006,0.2336459836459836,en,7.700000000000001
Johanna Faries,Johanna Faries,PERSON,0.16597796143250687,0.290633608815427,en,6.6000000000000005
Christian Pulisic,Christian Pulisic,PERSON,0.10308159722222221,0.2294379340277778,en,6.4
Storm Bram,Storm Bram,PERSON,0.274863387978142,0.615846994535519,en,6.1000000000000005
Kylian Mbappe,Kylian Mbappe,PERSON,0.1636363636363636,0.3,en,5.5
Hurricane Melissa,Hurricane Melissa,PERSON,0.0,0.0,en,4.9
Eli Katoa,Eli Katoa,PERSON,0.2057416267942584,0.4051036682615631,en,3.8
Winter Storm Chan,Winter Storm Chan,PERSON,-0.06937799043062202,0.4354066985645933,en,3.8
Paul Pogba,Paul Pogba,PERSON,0.30802859421280476,0.4372151970836183,en,3.8
Scott Fischer,Scott Fischer,PERSON,-0.35472972972972977,0.8108108108108109,en,3.6999999999999997
Kathy Hochul,Kathy Hochul,PERSON,0.1446901446901447,0.3131313131313131,en,3.6999999999999997
PETALING JAYA,PETALING JAYA,PERSON,0.21212121212121213,0.33333333333333337,en,3.3
Nusari Bayu,Nusari Bayu,PERSON,0.0625,0.09821428571428573,en,2.8
Michael Snyder,Michael Snyder,PERSON,0.45433673469387764,0.8489795918367348,en,2.8
Duane Arnold,Duane Arnold,PERSON,0.22321428571428573,0.35714285714285715,en,2.8
Arch Manning,Arch Manning,PERSON,-0.18948412698412703,0.16666666666666669,en,2.8
Mauricio Pochettino,Mauricio Pochettino,PERSON,-0.011904761904761906,0.011904761904761906,en,2.8
Yoon Ji Sung,Yoon Ji Sung,PERSON,0.041463744588744585,0.5997700216450216,en,2.8
Storm Byron,Storm Byron,PERSON,-0.08928571428571429,0.19642857142857145,en,2.8
