,summary,Mitigation,Hazard,Impacts,Causes,Adaptation,word
summaryOfAllWords,82631.91285279082,11902.583193527855,28179.953097617687,18990.12889911193,11904.941839885332,11654.305822655875,
Woman,5.4027490970626175,0.03954006959928644,-0.07764883789825293,0.02446829019434291,0.039219383651222794,0.05660485406408331,Woman
injured,12.16584604606555,-0.09059145705039398,0.12398681931799646,-0.04625429326285025,-0.09082980921973517,-0.07082534666454207,injured
woman injured,3.391988654274532,0.07261326515214575,-0.11083966680082877,0.006742664324316434,0.07216718283048856,0.08553735616804543,woman injured
from,87.38099183886524,-0.06468304779038406,0.09452400020253894,0.019568258403880632,-0.11082537329395402,-0.10622430602168917,from
injured from,3.421849225150578,0.07193138504592032,-0.1101696215743415,0.007150305662632822,0.07148853116557857,0.08496246450869224,injured from
debris,13.517083343635836,-0.043645846338171236,0.03717559314304532,0.011714097240034397,-0.04387536765572239,-0.023590888093026615,debris
from debris,3.441683768058632,0.07148314145961397,-0.10972876426274009,0.007417240482358761,0.0710423944711758,0.0845840312631046,from debris
while,16.174711681582416,-0.066443388192259,0.0656959421738079,-0.0004029398041728783,-0.053038225436993776,-0.04615792047862556,while
debris while,4.66076285582273,0.049400139521323154,-0.08766869411461733,0.019598065070401956,0.04904848838387066,0.06544531267683605,debris while
leaving,14.515639349236888,-0.03607055330463247,0.006140179947298001,0.04410102189703001,-0.03629630004484104,-0.01589218878563681,leaving
while leaving,3.4981171616417663,0.07022773125227275,-0.10849239760097497,0.008160506196359848,0.06979282033877504,0.08352195103669335,while leaving
Salt,3.5369046448832564,0.0693815003387688,-0.10765765319032564,0.008657919090422987,0.06895046959843079,0.08280422154181022,Salt
leaving salt,3.5369046448832564,0.0693815003387688,-0.10765765319032564,0.008657919090422987,0.06895046959843079,0.08280422154181022,leaving salt
Lake,3.562983752097488,0.06881992490083197,-0.10710310800618827,0.008986420383966402,0.06839144529186031,0.0823271173745844,Lake
